,real_time,WT_Runcode,iGenPower,iGenSpeed,iTemp1GearOil_1sec,iTempGearBearDE_1sec,iTempGearBearNDE_1sec,iTempNacelle_1sec,iWindSpeed
217,2017-11-15 08:16:37,3,2053,1769,58.1,59.5,62.5,16.5,11.9
218,2017-11-15 08:16:38,3,2044,1765,58.1,59.5,62.5,16.5,11.49
219,2017-11-15 08:16:39,3,2051,1761,58.0,59.5,62.5,16.5,11.33
220,2017-11-15 08:16:40,3,2050,1760,58.0,59.5,62.5,16.5,11.33
221,2017-11-15 08:16:41,3,2060,1760,58.0,59.5,62.5,16.5,11.76
222,2017-11-15 08:16:42,3,2051,1759,58.0,59.5,62.5,16.5,12.26
223,2017-11-15 08:16:43,3,2063,1762,58.0,59.5,62.5,16.5,12.4
224,2017-11-15 08:16:44,3,2048,1761,58.0,59.5,62.5,16.5,11.53
225,2017-11-15 08:16:45,3,2044,1759,58.0,59.5,62.5,16.5,11.92
226,2017-11-15 08:16:46,3,2046,1751,58.0,59.5,62.5,16.5,10.86
227,2017-11-15 08:16:47,3,2043,1748,58.0,59.5,62.5,16.5,12.14
228,2017-11-15 08:16:48,3,2042,1744,58.1,59.5,62.5,16.5,11.4
229,2017-11-15 08:16:49,3,2049,1743,58.1,59.5,62.5,16.5,11.93
230,2017-11-15 08:16:50,3,2057,1742,58.1,59.5,62.5,16.5,11.92
231,2017-11-15 08:16:51,3,2060,1746,58.1,59.5,62.5,16.5,10.65
232,2017-11-15 08:16:52,3,2041,1743,58.1,59.5,62.5,16.5,11.23
233,2017-11-15 08:16:53,3,2054,1745,58.1,59.5,62.5,16.5,10.76
234,2017-11-15 08:16:54,3,2046,1743,58.1,59.5,62.5,16.5,11.66
235,2017-11-15 08:16:55,3,2049,1741,58.1,59.5,62.6,16.5,11.58
236,2017-11-15 08:16:56,3,2055,1742,58.1,59.5,62.5,16.5,12.15
237,2017-11-15 08:16:57,3,2068,1748,58.1,59.5,62.5,16.6,11.87
238,2017-11-15 08:16:58,3,2050,1745,58.1,59.5,62.5,16.5,12.82
239,2017-11-15 08:16:59,3,2056,1747,58.1,59.5,62.5,16.5,12.17
240,2017-11-15 08:17:00,3,2051,1748,58.1,59.5,62.5,16.5,11.59
241,2017-11-15 08:17:01,3,2040,1745,58.1,59.5,62.5,16.5,11.23
242,2017-11-15 08:17:02,3,2049,1745,58.1,59.5,62.5,16.5,12.04
243,2017-11-15 08:17:03,3,2049,1747,58.1,59.5,62.6,16.5,12.22
244,2017-11-15 08:17:04,3,2042,1744,58.0,59.5,62.5,16.5,11.05
245,2017-11-15 08:17:05,3,2049,1743,58.1,59.5,62.5,16.5,11.35
246,2017-11-15 08:17:06,3,2049,1744,58.1,59.5,62.5,16.5,12.13
247,2017-11-15 08:17:07,3,2051,1743,58.1,59.5,62.6,16.5,10.77
248,2017-11-15 08:17:08,3,2056,1744,58.1,59.5,62.6,16.5,11.21
249,2017-11-15 08:17:09,3,2051,1743,58.0,59.5,62.6,16.5,11.76
250,2017-11-15 08:17:10,3,2056,1744,58.0,59.5,62.6,16.5,12.48
251,2017-11-15 08:17:11,3,2061,1748,58.0,59.5,62.6,16.5,11.99
252,2017-11-15 08:17:12,3,2063,1752,58.0,59.5,62.6,16.5,11.95
253,2017-11-15 08:17:13,3,2055,1756,58.0,59.5,62.6,16.5,12.84
254,2017-11-15 08:17:14,3,2060,1760,58.0,59.5,62.6,16.5,12.95
255,2017-11-15 08:17:15,3,2067,1763,58.1,59.5,62.6,16.5,11.07
256,2017-11-15 08:17:16,3,2044,1763,58.1,59.5,62.6,16.5,11.69
257,2017-11-15 08:17:17,3,2052,1763,58.0,59.5,62.6,16.5,12.09
258,2017-11-15 08:17:18,3,2056,1762,58.0,59.5,62.6,16.5,13.07
259,2017-11-15 08:17:19,3,2050,1760,58.0,59.5,62.6,16.5,12.07
260,2017-11-15 08:17:20,3,2047,1760,58.0,59.5,62.6,16.5,10.67
261,2017-11-15 08:17:21,3,2052,1761,58.0,59.5,62.6,16.5,11.03
262,2017-11-15 08:17:22,3,2052,1759,58.0,59.5,62.6,16.6,11.74
263,2017-11-15 08:17:23,3,2053,1758,58.0,59.5,62.6,16.5,11.79
